participant_id,condition,imageid,headline,before_AI_Real_Fake,confidence_rating_before_AI,with_AI_Real_Fake,confidence_rating_with_AI,ground_truth_with_AI,after_AI_seen_before,after_AI_ground_truth,after_AI_Real_Fake,confidence_rating_after_AI,with_AI_seen_before,week
560379c9e372c00011bd4a90,Persuasive,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,100,FAKE,100,fake,No,fake,Fake,100,No,week 0
560379c9e372c00011bd4a90,Persuasive,5,"Mikerlyne Dorvil, accused of causing the earthquake in Haiti, rests on a bus leaving Port-au-Prince for an undisclosed location.",FAKE,100,FAKE,100,fake,No,fake,Fake,100,No,week 0
560379c9e372c00011bd4a90,Persuasive,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,48,REAL,100,real,No,real,Real,80,No,week 0
560379c9e372c00011bd4a90,Persuasive,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",FAKE,53,REAL,100,real,No,real,Real,52,No,week 0
56b43607c54e3c000d3c9b0b,Persuasive,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,65,REAL,98,real,No,real,Real,87,No,week 0
56b43607c54e3c000d3c9b0b,Persuasive,4,Scott Brown incites violence during his campaign in Boston on Monday.,FAKE,79,FAKE,94,fake,No,fake,Real,68,No,week 0
56b43607c54e3c000d3c9b0b,Persuasive,5,"Mikerlyne Dorvil, accused of causing the earthquake in Haiti, rests on a bus leaving Port-au-Prince for an undisclosed location.",REAL,70,FAKE,97,fake,No,fake,Fake,76,No,week 0
56b43607c54e3c000d3c9b0b,Persuasive,11,"Marcela Bonilla administering a vaccine this week to a resident of Vancouver���s Downtown Eastside, a neighborhood marked by poverty, homelessness and drug use.",REAL,66,REAL,84,real,No,real,Real,77,No,week 0
57165ba7c5aca2000a8d32ca,Persuasive,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",REAL,80,FAKE,87,fake,No,fake,Fake,100,No,week 0
57165ba7c5aca2000a8d32ca,Persuasive,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,100,REAL,100,real,No,real,Real,83,No,week 0
57165ba7c5aca2000a8d32ca,Persuasive,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,86,REAL,100,real,No,real,Real,100,No,week 0
57165ba7c5aca2000a8d32ca,Persuasive,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,91,FAKE,100,fake,No,fake,Real,92,No,week 0
578901354a84da00014c41cf,Critical Thinking,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,36,FAKE,75,fake,No,fake,Fake,75,No,week 0
578901354a84da00014c41cf,Critical Thinking,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",FAKE,38,FAKE,68,fake,No,fake,Fake,66,No,week 0
