,participant_id,condition,imageid,headline,before_AI_Real_Fake,confidence_rating_before_AI,with_AI_Real_Fake,confidence_rating_with_AI,ground_truth_with_AI,with_AI_seen_before,after_AI_ground_truth,after_AI_Real_Fake,confidence_rating_after_AI
0,560379c9e372c00011bd4a90,1,3,Ethnic Tibetan delegates are arrested in front of the Great Hall of the People in Beijing on Wednesday.,FAKE,100,FAKE,100,Fake,No,Fake,Fake,85
1,560379c9e372c00011bd4a90,1,7,"The police faced off with protesters during a violent crackdown in Yangon, Myanmar, on Sunday.",REAL,100,REAL,100,Real,No,Fake,Fake,40
2,560379c9e372c00011bd4a90,1,4,"Investigators at the scene of the ambush in Coatepec Harinas, Mexico, on Thursday.",REAL,100,REAL,100,Real,No,Real,Real,89
3,560379c9e372c00011bd4a90,1,1,"A 2007 production of Flight to Freedom: The Story of Margaret Garner, accused of inciting racial violence, at City Center in New York.",FAKE,100,FAKE,100,Fake,No,Real,Real,22
4,56b43607c54e3c000d3c9b0b,1,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,93,REAL,93,Real,No,Fake,Fake,44
5,56b43607c54e3c000d3c9b0b,1,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",FAKE,81,FAKE,81,Fake,No,Fake,Fake,55
6,56b43607c54e3c000d3c9b0b,1,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,88,FAKE,88,Fake,No,Real,Real,84
7,56b43607c54e3c000d3c9b0b,1,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,95,REAL,95,Real,No,Real,Real,49
8,57165ba7c5aca2000a8d32ca,1,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,81,REAL,81,Real,No,Fake,Fake,61
9,57165ba7c5aca2000a8d32ca,1,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Fake,Fake,100
10,57165ba7c5aca2000a8d32ca,1,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,100,FAKE,100,Fake,No,Real,Real,92
11,57165ba7c5aca2000a8d32ca,1,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,100,REAL,100,Real,No,Real,Real,39
12,5c4f5967aac8be0001716a65,1,2,"A woman rejoices over the destruction caused by the tsunami in Pelluhue, Chile, on Tuesday.",FAKE,100,FAKE,100,Fake,No,Fake,Fake,100
13,5c4f5967aac8be0001716a65,1,1,"A 2007 production of Flight to Freedom: The Story of Margaret Garner, accused of inciting racial violence, at City Center in New York.",FAKE,100,FAKE,100,Fake,No,Fake,Fake,80
14,5c4f5967aac8be0001716a65,1,5,"Protesters gathered in downtown Louisville, Ky., on Saturday to commemorate anniversary of the killing of Breonna Taylor in a botched raid by Louisville police officers.",REAL,100,REAL,100,Real,No,Real,Real,72
15,5c4f5967aac8be0001716a65,1,4,"Investigators at the scene of the ambush in Coatepec Harinas, Mexico, on Thursday.",REAL,100,REAL,100,Real,Yes,Real,Fake,50
16,5caccbc4976d010014b9cd9d,1,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,99,FAKE,99,Fake,No,Fake,Fake,80
17,5caccbc4976d010014b9cd9d,1,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Fake,Fake,70
18,5caccbc4976d010014b9cd9d,1,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,99,REAL,99,Real,No,Real,Fake,40
19,5caccbc4976d010014b9cd9d,1,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,100,REAL,100,Real,No,Real,Fake,90
20,5d07fc124e753800168ccafe,1,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Fake,Fake,100
21,5d07fc124e753800168ccafe,1,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,90,REAL,90,Real,No,Fake,Fake,100
22,5d07fc124e753800168ccafe,1,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,90,REAL,90,Real,No,Real,Real,60
23,5d07fc124e753800168ccafe,1,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",FAKE,100,FAKE,100,Fake,Yes,Real,Real,30
24,5d20189bb34728001a230962,1,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,REAL,8,REAL,8,Fake,No,Fake,Fake,8
25,5d20189bb34728001a230962,1,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,REAL,6,REAL,6,Fake,No,Fake,Fake,8
26,5d20189bb34728001a230962,1,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,13,REAL,13,Real,No,Real,Real,10
27,5d20189bb34728001a230962,1,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,21,REAL,21,Real,No,Real,Real,10
28,5d8cef3c28e183001a335ab0,1,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,70,REAL,70,Real,No,Fake,Fake,73
29,5d8cef3c28e183001a335ab0,1,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",FAKE,71,FAKE,71,Fake,No,Fake,Real,26
30,5d8cef3c28e183001a335ab0,1,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,90,REAL,90,Real,No,Real,Real,31
31,5d8cef3c28e183001a335ab0,1,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,99,FAKE,99,Fake,No,Real,Fake,63
32,5deb341d35575a2547b1f85a,1,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,86,REAL,86,Real,No,Fake,Fake,78
33,5deb341d35575a2547b1f85a,1,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,86,FAKE,86,Fake,No,Fake,Fake,61
34,5deb341d35575a2547b1f85a,1,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,92,REAL,92,Real,No,Real,Fake,51
35,5deb341d35575a2547b1f85a,1,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,83,FAKE,83,Fake,No,Real,Real,57
36,5e06ecd524f9390991997bb7,1,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,93,REAL,93,Real,No,Fake,Fake,62
37,5e06ecd524f9390991997bb7,1,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,99,FAKE,99,Fake,No,Fake,Fake,54
38,5e06ecd524f9390991997bb7,1,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,94,FAKE,94,Fake,No,Real,Fake,52
39,5e06ecd524f9390991997bb7,1,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,75,REAL,75,Real,No,Real,Real,66
40,5e27727328b7b698b037ee6c,1,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,62,REAL,62,Real,No,Fake,Fake,32
41,5e27727328b7b698b037ee6c,1,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",REAL,55,REAL,55,Fake,No,Fake,Real,31
42,5e27727328b7b698b037ee6c,1,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,76,FAKE,76,Fake,No,Real,Real,80
43,5e27727328b7b698b037ee6c,1,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,91,REAL,91,Real,No,Real,Real,13
44,5e35373e1ddb124e6c306747,1,2,"A woman rejoices over the destruction caused by the tsunami in Pelluhue, Chile, on Tuesday.",FAKE,95,FAKE,95,Fake,No,Fake,Fake,79
45,5e35373e1ddb124e6c306747,1,6,"From Minneapolis city surveillance video, Minneapolis police are seen attempting to take George Floyd into custody on May 25, 2020.",REAL,100,REAL,100,Real,Yes,Fake,Fake,72
46,5e35373e1ddb124e6c306747,1,4,"Investigators at the scene of the ambush in Coatepec Harinas, Mexico, on Thursday.",REAL,99,REAL,99,Real,No,Real,Real,85
47,5e35373e1ddb124e6c306747,1,1,"A 2007 production of Flight to Freedom: The Story of Margaret Garner, accused of inciting racial violence, at City Center in New York.",FAKE,70,FAKE,70,Fake,No,Real,Real,65
48,5e70636370147a63fecbdea3,1,0,Gov. David A. Paterson is seen disrupting a town hall event in Harlem on Thursday.,FAKE,100,FAKE,100,Fake,No,Fake,Fake,100
49,5e70636370147a63fecbdea3,1,4,"Investigators at the scene of the ambush in Coatepec Harinas, Mexico, on Thursday.",REAL,84,REAL,84,Real,No,Fake,Fake,81
50,5e70636370147a63fecbdea3,1,5,"Protesters gathered in downtown Louisville, Ky., on Saturday to commemorate anniversary of the killing of Breonna Taylor in a botched raid by Louisville police officers.",REAL,100,REAL,100,Real,Yes,Real,Real,71
51,5e70636370147a63fecbdea3,1,3,Ethnic Tibetan delegates are arrested in front of the Great Hall of the People in Beijing on Wednesday.,FAKE,95,FAKE,95,Fake,No,Real,Real,100
52,5e916cb9e502b1498e8fc059,1,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,100,REAL,100,Real,No,Fake,Fake,70
53,5e916cb9e502b1498e8fc059,1,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",REAL,100,REAL,100,Fake,No,Fake,Fake,100
54,5e916cb9e502b1498e8fc059,1,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,100,FAKE,100,Fake,No,Real,Real,51
55,5e916cb9e502b1498e8fc059,1,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,100,REAL,100,Real,Yes,Real,Fake,40
56,5ec62902bb44c16b842128f9,1,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,FAKE,100,FAKE,100,Fake,No,Fake,Fake,29
57,5ec62902bb44c16b842128f9,1,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,86,REAL,86,Real,No,Fake,Real,67
58,5ec62902bb44c16b842128f9,1,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,95,REAL,95,Real,No,Real,Fake,89
59,5ec62902bb44c16b842128f9,1,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",REAL,100,REAL,100,Fake,Yes,Real,Fake,100
60,5f0a686635f72917e94c7a63,1,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,96,FAKE,96,Fake,No,Fake,Fake,81
61,5f0a686635f72917e94c7a63,1,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,FAKE,50,FAKE,50,Fake,No,Fake,Real,81
62,5f0a686635f72917e94c7a63,1,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,95,REAL,95,Real,No,Real,Real,84
63,5f0a686635f72917e94c7a63,1,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",REAL,92,REAL,92,Real,No,Real,Real,61
64,5f1b4845cbf55f3192e33b89,1,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",REAL,76,REAL,76,Fake,Yes,Fake,Fake,83
65,5f1b4845cbf55f3192e33b89,1,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",REAL,100,REAL,100,Real,No,Fake,Real,54
66,5f1b4845cbf55f3192e33b89,1,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,100,REAL,100,Real,No,Real,Real,100
67,5f1b4845cbf55f3192e33b89,1,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,100,FAKE,100,Fake,No,Real,Real,52
68,5faefcc22be93b11829e84df,1,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",FAKE,100,FAKE,100,Fake,No,Fake,Fake,90
69,5faefcc22be93b11829e84df,1,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,REAL,100,REAL,100,Real,No,Fake,Fake,90
70,5faefcc22be93b11829e84df,1,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",REAL,100,REAL,100,Real,No,Real,Real,95
71,5faefcc22be93b11829e84df,1,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,FAKE,100,FAKE,100,Fake,No,Real,Real,85
72,601e13b872774f263d64acac,1,2,"A woman rejoices over the destruction caused by the tsunami in Pelluhue, Chile, on Tuesday.",FAKE,84,FAKE,84,Fake,No,Fake,Fake,44
73,601e13b872774f263d64acac,1,4,"Investigators at the scene of the ambush in Coatepec Harinas, Mexico, on Thursday.",REAL,96,REAL,96,Real,No,Fake,Fake,47
74,601e13b872774f263d64acac,1,1,"A 2007 production of Flight to Freedom: The Story of Margaret Garner, accused of inciting racial violence, at City Center in New York.",FAKE,92,FAKE,92,Fake,No,Real,Real,86
75,601e13b872774f263d64acac,1,5,"Protesters gathered in downtown Louisville, Ky., on Saturday to commemorate anniversary of the killing of Breonna Taylor in a botched raid by Louisville police officers.",REAL,91,REAL,91,Real,Yes,Real,Real,51
76,601fd27860b197531ca7bdcc,1,5,"Protesters gathered in downtown Louisville, Ky., on Saturday to commemorate anniversary of the killing of Breonna Taylor in a botched raid by Louisville police officers.",REAL,85,REAL,85,Real,No,Fake,Fake,80
77,601fd27860b197531ca7bdcc,1,1,"A 2007 production of Flight to Freedom: The Story of Margaret Garner, accused of inciting racial violence, at City Center in New York.",FAKE,95,FAKE,95,Fake,No,Fake,Fake,90
78,601fd27860b197531ca7bdcc,1,4,"Investigators at the scene of the ambush in Coatepec Harinas, Mexico, on Thursday.",REAL,85,REAL,85,Real,No,Real,Real,80
79,601fd27860b197531ca7bdcc,1,2,"A woman rejoices over the destruction caused by the tsunami in Pelluhue, Chile, on Tuesday.",FAKE,100,FAKE,100,Fake,No,Real,Real,95
80,6023f94d1951e70ae21770ec,1,5,"Protesters gathered in downtown Louisville, Ky., on Saturday to commemorate anniversary of the killing of Breonna Taylor in a botched raid by Louisville police officers.",REAL,100,REAL,100,Real,Yes,Fake,Real,72
