.,ai_usage,ai_image_usage,I understand the basic concepts of Artifical Intelligence,I believe I can contribute to AI projects,I can judge the pros and cons of AI,I keep up with the latest AI trends,I am comfortable talking about AI with others,I can think of news ways to use existing AI tools
5faefcc22be93b11829e84df,0-2 hours a day,Rarely,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral
67db3dd91c05b7278a0aad44,0-2 hours a day,Once a week,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree
5f0a686635f72917e94c7a63,Once a month,Rarely,Click to write Choice 8,Click to write Choice 8,Click to write Choice 8,Click to write Choice 8,Click to write Choice 8,Click to write Choice 8
671f12c5d2543b67c0f12e57,2-4 hours a day,Once a week,Strongly Agree,Somewhat Disagree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
67439be8ee2236a7c078d523,0-2 hours a day,Never,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree
66562875b665d8e2b1b6fc66,Once a week,Never,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral
67a96562e2b052e6c15ed963,Never,Never,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree
6756a94929aa9c7782b3ab2a,Once a month,Rarely,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree
5d01b9d4c9281200151c7c6b,Never,Never,Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Neutral
663d8f0edfd87b4c1f590b99,Once a week,Once a month,Agree,Agree,Agree,Agree,Agree,Somewhat Agree
60d1129ad29dbe85a59b9c4a,Once a week,Rarely,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree
656330bce859fe9d4d59f7cd,2-4 hours a day,Everyday,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
5f1b4845cbf55f3192e33b89,Once a month,Never,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree
6740e1e09ca406ab781318cb,0-2 hours a day,Once a week,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree
661571d6cc16ee34676734df,0-2 hours a day,Never,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree
6761134a283b8ace0b1e0345,0-2 hours a day,Once a week,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree
5ec62902bb44c16b842128f9,Once a week,Once a week,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree
60ddc7abdf6661b9c294691f,0-2 hours a day,Once a month,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree
66293ce3dba0764775195e58,0-2 hours a day,Once a week,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Agree
6650a822a7a14d7179997510,0-2 hours a day,Rarely,Agree,Neutral,Somewhat Agree,Disagree,Somewhat Agree,Disagree
678f0bb28ec3307e4f1afb78,0-2 hours a day,Never,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree
663e3cebf22215cffd238d3e,0-2 hours a day,Once a week,Agree,Somewhat Agree,Agree,Agree,Agree,Agree
666b4944d7f80b9099b5af20,0-2 hours a day,Never,Agree,Agree,Agree,Agree,Strongly Agree,Agree
6792f9facbb387400c5b6119,Once a week,Never,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree
628f9cfbee6de7cc7322fecf,0-2 hours a day,Once a week,Agree,Agree,Somewhat Agree,Agree,Agree,Agree
61bb392e40db417c1a138dcb,Once a week,Rarely,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral
5deb341d35575a2547b1f85a,Once a month,Never,Agree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Disagree
5d849ee0a954540019f513dd,2-4 hours a day,Once a week,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Agree
666c7b666fa83d9dad4c6451,Once a week,Once a month,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
6797d5ada6654ec99f741b08,Once a month,Rarely,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Strongly Agree
6670e05a65d32df6fa3e7560,2-4 hours a day,Everyday,Click to write Choice 8,Click to write Choice 8,Click to write Choice 8,Click to write Choice 8,Click to write Choice 8,Click to write Choice 8
5cd08e2ff59e0a0013563602,2-4 hours a day,Once a week,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree
65ee4106d4b632b7fb7a3f79,4-6 hours a day,Everyday,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral
5e27727328b7b698b037ee6c,0-2 hours a day,Once a week,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Neutral
664921b8a4c8fcf533571f7a,0-2 hours a day,Never,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree
63d84be2c9a21026d442e728,0-2 hours a day,Everyday,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
660cda55786e37b1cbb49717,0-2 hours a day,Everyday,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Neutral
5bc9206a66d04800015cf314,4-6 hours a day,Once a month,Agree,Agree,Agree,Agree,Agree,Agree
667df5e9bd4b308be6266d71,Never,Rarely,Agree,Disagree,Agree,Disagree,Neutral,Disagree
6099dff06308cc570a428098,Once a month,Never,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral
672feaa71ba8b290765e0c7a,0-2 hours a day,Once a week,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree
647dde92d730823a9e5c7f0f,Once a week,Once a week,Agree,Agree,Agree,Somewhat Agree,Agree,Agree
66509a4f5f39c86bc4cd57c0,0-2 hours a day,Rarely,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree
6410e0ba81f88046afa861ca,0-2 hours a day,Once a week,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Neutral
5af3c4e197a14300017d3f49,0-2 hours a day,Once a month,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
5be8dab5d153f500019ab320,0-2 hours a day,Once a week,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
67a8bfb2f846cd3ea9bcd898,2-4 hours a day,Everyday,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree
5c5198da659655000168955d,Once a week,Never,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Agree
66dd097265650e0dec23231f,0-2 hours a day,Once a week,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree
65eaee94a1826098aae0eb95,0-2 hours a day,Rarely,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree
