just_the_facts,gave_away_ground_truth,conversation_id,participant_id,condition,imageid,headline,phase,week,asked_broad_questions,asked_guiding_questions,probed_deeper_over_multiple_messages,changed_focus_every_question,ask_for_source_checking,cross_verification_prompting,image_forensics_questions,contextual_consistency_checks,counterfactual_generation,ask_for_alternative_explanations,logic_plausibility_checks,scale_scope_reflection,spot_emotional_triggers,bias_awareness_reflection,framing_analysis,recall_prior_knowledge,fact_comparison,historical_analogies,devils_advocate_roleplay,evidence_ranking,step_by_step_reasoning,confidence_calibration,uncertainty_tolerance,reflect_on_process,ground_truth,initial_rating,final_rating,unassisted_rating,unassisted_ground_truth,congruent_belief,accuracy_before,accuracy_with,accuracy_unassisted,gave_away_answer_beginning,gave_away_answer_end,gave_away_answer_never
1,0,5e35373e1ddb124e6c306747_0,5e35373e1ddb124e6c306747,1,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,Fake,Real,FAKE,Fake,fake,Incongruent,False,True,True,True,False,False
0,0,5e35373e1ddb124e6c306747_1,5e35373e1ddb124e6c306747,1,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Fake,Fake,FAKE,Fake,fake,Congruent,True,True,True,True,False,False
1,0,5e35373e1ddb124e6c306747_6,5e35373e1ddb124e6c306747,1,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Real,Fake,REAL,Real,real,Incongruent,False,True,True,True,False,False
1,0,5e35373e1ddb124e6c306747_12,5e35373e1ddb124e6c306747,1,12,People kept away from each other to avoid spreading Covid-19 in May 2020 at Domino Park in Brooklyn.,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,Real,Real,REAL,Real,real,Congruent,True,True,True,True,False,False
0,2,5e916cb9e502b1498e8fc059_0,5e916cb9e502b1498e8fc059,1,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,Fake,Fake,FAKE,Fake,fake,Congruent,True,True,True,False,False,True
0,2,5e916cb9e502b1498e8fc059_1,5e916cb9e502b1498e8fc059,1,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,Fake,Fake,FAKE,Fake,fake,Congruent,True,True,True,False,False,True
0,2,5e916cb9e502b1498e8fc059_8,5e916cb9e502b1498e8fc059,1,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,Real,Real,REAL,Real,real,Congruent,True,True,True,False,False,True
0,2,5e916cb9e502b1498e8fc059_10,5e916cb9e502b1498e8fc059,1,10,Mayor Bill de Blasio of New York announced on Friday that all eligible residents could now get vaccinated for Covid-19 at any city-run site without an appointment.,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,Real,Real,REAL,Fake,real,Congruent,True,True,False,False,False,True
1,0,6023f94d1951e70ae21770ec_1,6023f94d1951e70ae21770ec,1,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,Fake,Real,FAKE,Fake,fake,Incongruent,False,True,True,True,False,False
0,2,6023f94d1951e70ae21770ec_4,6023f94d1951e70ae21770ec,1,4,Scott Brown incites violence during his campaign in Boston on Monday.,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,Fake,Fake,FAKE,Fake,fake,Congruent,True,True,True,False,False,True
1,0,6023f94d1951e70ae21770ec_6,6023f94d1951e70ae21770ec,1,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Real,Real,REAL,Real,real,Congruent,True,True,True,True,False,False
1,0,6023f94d1951e70ae21770ec_7,6023f94d1951e70ae21770ec,1,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Real,Real,REAL,Real,real,Congruent,True,True,True,True,False,False
0,1,65c18c789a79785086046517_3,65c18c789a79785086046517,1,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,Fake,Real,FAKE,Fake,fake,Incongruent,False,True,True,False,True,False
0,1,65c18c789a79785086046517_4,65c18c789a79785086046517,1,4,Scott Brown incites violence during his campaign in Boston on Monday.,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,Fake,Fake,FAKE,Fake,fake,Congruent,True,True,True,False,True,False
0,2,65c18c789a79785086046517_11,65c18c789a79785086046517,1,11,"Marcela Bonilla administering a vaccine this week to a resident of Vancouver���s Downtown Eastside, a neighborhood marked by poverty, homelessness and drug use.",1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,Real,Real,REAL,Real,real,Congruent,True,True,True,False,False,True
1,0,65c18c789a79785086046517_12,65c18c789a79785086046517,1,12,People kept away from each other to avoid spreading Covid-19 in May 2020 at Domino Park in Brooklyn.,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,Real,Fake,REAL,Real,real,Incongruent,False,True,True,True,False,False
0,2,66abf0c472f051b5e40cfbfd_0,66abf0c472f051b5e40cfbfd,1,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,Fake,Fake,FAKE,Fake,fake,Congruent,True,True,True,False,False,True
1,0,66abf0c472f051b5e40cfbfd_5,66abf0c472f051b5e40cfbfd,1,5,"Mikerlyne Dorvil, accused of causing the earthquake in Haiti, rests on a bus leaving Port-au-Prince for an undisclosed location.",1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,Fake,Fake,FAKE,Fake,fake,Congruent,True,True,True,True,False,False
