just_the_facts,gave_away_ground_truth,conversation_id,participant_id,condition,imageid,headline,phase,week,asked_broad_questions,asked_guiding_questions,probed_deeper_over_multiple_messages,changed_focus_every_question,ask_for_source_checking,cross_verification_prompting,image_forensics_questions,contextual_consistency_checks,counterfactual_generation,ask_for_alternative_explanations,logic_plausibility_checks,scale_scope_reflection,spot_emotional_triggers,bias_awareness_reflection,framing_analysis,recall_prior_knowledge,fact_comparison,historical_analogies,devils_advocate_roleplay,evidence_ranking,step_by_step_reasoning,confidence_calibration,uncertainty_tolerance,reflect_on_process
0,1,560379c9e372c00011bd4a90_0,560379c9e372c00011bd4a90,1,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
1,0,560379c9e372c00011bd4a90_5,560379c9e372c00011bd4a90,1,5,"Mikerlyne Dorvil, accused of causing the earthquake in Haiti, rests on a bus leaving Port-au-Prince for an undisclosed location.",1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1
1,0,560379c9e372c00011bd4a90_7,560379c9e372c00011bd4a90,1,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
0,2,560379c9e372c00011bd4a90_8,560379c9e372c00011bd4a90,1,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
0,2,56b43607c54e3c000d3c9b0b_4,56b43607c54e3c000d3c9b0b,1,4,Scott Brown incites violence during his campaign in Boston on Monday.,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1,0,56b43607c54e3c000d3c9b0b_5,56b43607c54e3c000d3c9b0b,1,5,"Mikerlyne Dorvil, accused of causing the earthquake in Haiti, rests on a bus leaving Port-au-Prince for an undisclosed location.",1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1
0,2,56b43607c54e3c000d3c9b0b_6,56b43607c54e3c000d3c9b0b,1,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0,2,56b43607c54e3c000d3c9b0b_11,56b43607c54e3c000d3c9b0b,1,11,"Marcela Bonilla administering a vaccine this week to a resident of Vancouver���s Downtown Eastside, a neighborhood marked by poverty, homelessness and drug use.",1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
0,2,57165ba7c5aca2000a8d32ca_2,57165ba7c5aca2000a8d32ca,1,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
0,2,57165ba7c5aca2000a8d32ca_3,57165ba7c5aca2000a8d32ca,1,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
0,2,57165ba7c5aca2000a8d32ca_6,57165ba7c5aca2000a8d32ca,1,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1
1,0,57165ba7c5aca2000a8d32ca_7,57165ba7c5aca2000a8d32ca,1,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,5c4f5967aac8be0001716a65_1,5c4f5967aac8be0001716a65,1,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
1,0,5c4f5967aac8be0001716a65_2,5c4f5967aac8be0001716a65,1,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
1,0,5c4f5967aac8be0001716a65_7,5c4f5967aac8be0001716a65,1,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
1,0,5c4f5967aac8be0001716a65_9,5c4f5967aac8be0001716a65,1,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,2,5caccbc4976d010014b9cd9d_1,5caccbc4976d010014b9cd9d,1,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
0,2,5caccbc4976d010014b9cd9d_2,5caccbc4976d010014b9cd9d,1,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,5caccbc4976d010014b9cd9d_4,5caccbc4976d010014b9cd9d,1,4,Scott Brown incites violence during his campaign in Boston on Monday.,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
1,0,5caccbc4976d010014b9cd9d_7,5caccbc4976d010014b9cd9d,1,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,2,5d07fc124e753800168ccafe_0,5d07fc124e753800168ccafe,1,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1
1,0,5d07fc124e753800168ccafe_5,5d07fc124e753800168ccafe,1,5,"Mikerlyne Dorvil, accused of causing the earthquake in Haiti, rests on a bus leaving Port-au-Prince for an undisclosed location.",1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1
