participant_id,headline,gave_away_ground_truth,asked_broad_questions,asked_guiding_questions,probed_deeper_over_multiple_messages,changed_focus_every_question,ask_for_source_checking,cross_verification_prompting,image_forensics_questions,contextual_consistency_checks,counterfactual_generation,ask_for_alternative_explanations,logic_plausibility_checks,scale_scope_reflection,spot_emotional_triggers,bias_awareness_reflection,framing_analysis,recall_prior_knowledge,fact_comparison,historical_analogies,devils_advocate_roleplay,evidence_ranking,step_by_step_reasoning,confidence_calibration,uncertainty_tolerance,reflect_on_process,Week,ground_truth,initial_rating,final_rating,unassisted_rating,unassisted_ground_truth,congruent_belief,accuracy_before,accuracy_with,accuracy_unassisted
5e35373e1ddb124e6c306747,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,Week0,Fake,Real,FAKE,Fake,fake,Incongruent,False,True,True
5e35373e1ddb124e6c306747,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Week0,Fake,Fake,FAKE,Fake,fake,Congruent,True,True,True
5e35373e1ddb124e6c306747,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Week0,Real,Fake,REAL,Real,real,Incongruent,False,True,True
5e35373e1ddb124e6c306747,People kept away from each other to avoid spreading Covid-19 in May 2020 at Domino Park in Brooklyn.,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,Week0,Real,Real,REAL,Real,real,Congruent,True,True,True
5e916cb9e502b1498e8fc059,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",2,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,Week0,Fake,Fake,FAKE,Fake,fake,Congruent,True,True,True
5e916cb9e502b1498e8fc059,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,Week0,Fake,Fake,FAKE,Fake,fake,Congruent,True,True,True
5e916cb9e502b1498e8fc059,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",2,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,Week0,Real,Real,REAL,Real,real,Congruent,True,True,True
5e916cb9e502b1498e8fc059,Mayor Bill de Blasio of New York announced on Friday that all eligible residents could now get vaccinated for Covid-19 at any city-run site without an appointment.,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,Week0,Real,Real,REAL,Fake,real,Congruent,True,True,False
6023f94d1951e70ae21770ec,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,Week0,Fake,Real,FAKE,Fake,fake,Incongruent,False,True,True
6023f94d1951e70ae21770ec,Scott Brown incites violence during his campaign in Boston on Monday.,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,Week0,Fake,Fake,FAKE,Fake,fake,Congruent,True,True,True
6023f94d1951e70ae21770ec,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",2,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Week0,Real,Real,REAL,Real,real,Congruent,True,True,True
6023f94d1951e70ae21770ec,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Week0,Real,Real,REAL,Real,real,Congruent,True,True,True
65c18c789a79785086046517,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",2,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,Week0,Fake,Real,FAKE,Fake,fake,Incongruent,False,True,True
65c18c789a79785086046517,Scott Brown incites violence during his campaign in Boston on Monday.,2,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,Week0,Fake,Fake,FAKE,Fake,fake,Congruent,True,True,True
65c18c789a79785086046517,"Marcela Bonilla administering a vaccine this week to a resident of Vancouver���s Downtown Eastside, a neighborhood marked by poverty, homelessness and drug use.",2,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,Week0,Real,Real,REAL,Real,real,Congruent,True,True,True
65c18c789a79785086046517,People kept away from each other to avoid spreading Covid-19 in May 2020 at Domino Park in Brooklyn.,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,Week0,Real,Fake,REAL,Real,real,Incongruent,False,True,True
66abf0c472f051b5e40cfbfd,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,Week0,Fake,Fake,FAKE,Fake,fake,Congruent,True,True,True
66abf0c472f051b5e40cfbfd,"Mikerlyne Dorvil, accused of causing the earthquake in Haiti, rests on a bus leaving Port-au-Prince for an undisclosed location.",0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,Week0,Fake,Fake,FAKE,Fake,fake,Congruent,True,True,True
