participant_id,week,Thinking Process,AI effectiveness
560379c9e372c00011bd4a90,week 0,"It seems like it is real, but, it has a robotic style. ","Not really, just reinforced what I already thought. "
56b43607c54e3c000d3c9b0b,week 0,I tried to clarify any information with the AI to help me make my decision. The AI also provided its thoughts which I took into consideration. I believe that the AI raised a lot of relevant points that helped me out. I did end up changing some of my initial beliefs. I was very open to considering the AI's input.,I think the AI gave me some helpful advice. It told me to really focus on what the headline is actually saying. It also confirmed some of my beliefs that unusual images could mean that the headline is false.
57165ba7c5aca2000a8d32ca,week 0,I would take into account the AIs suggestions and take a closer look at the article and image based on this suggestion.,It didn't teach me but it definitely did provoke my thought process for determining this.
5c4f5967aac8be0001716a65,week 0,"I would judge whether it was real or fake, the bot would give it's opinion. I would decide if it was real or not mostly, but if the bot gave enough reason to believe it was the other way I would agree with it.","Not really, I tended to figure it out by myself the AI just kind of confirmed it."
5caccbc4976d010014b9cd9d,week 0,I just wanted to see how compelling their argument was and then to ask questions. The dialogue felt natural and the conversation flowed. I didn't think  much more about it.,Yes I thought the evidence that I was given was strong.
5d07fc124e753800168ccafe,week 0,"I largely based it off my intuition, and used the AI to flesh my intuition out further. Generally the AI made me *more sure* of my own position -- pointing out reasons why it might be true that I may not have realised or did not know. ","No. I think it's generally pretty obvious when AI images are fake (smooth skin, digits are off, etc), and my ability to determine true/false info comes from before AI was popularised -- it's based off my own intuition and critical thinking skills. "
5d20189bb34728001a230962,week 0,Holding my own. It seems quite a bit manipulative. I think for myself.,No. That's stale news. Still doesn't matter.
5deb341d35575a2547b1f85a,week 0,"I asked questions, and when they were all answered I felt like I had to keep asking things to make it move along",I feel like it did help to point out you need to verify information
5e06ecd524f9390991997bb7,week 0,I wasn't sure if I should believe the AI. I didn't know if it had reasons to lie to me. It seemed dodgy at times and didn't clearly answer my questions.,"No, I don't feel this way. The AI didn't cite it's sources. It didn't give me scientifically proven information either."
5e27727328b7b698b037ee6c,week 0,I was trying to see if I could get any additional context or cues from the AI about whether these stories were real or fake. If I felt I could get any extra info from its responses I would use that to get a decision.,"I would say no. I felt that even after engaging with the AI, I did not have a satisfactory way of knowing that a story I was shown was real or not, so I felt that I did not get a good way to do that."
