image,"label (1=Fake, 0 = Real)",text,Phase,Train/test
0.jpg,1,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,Phase 2,Train
1.jpg,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",Phase 2,Train
2.jpg,1,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,Phase 2,Train
3.jpg,1,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,Phase 2,Train
20.jpg,0,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",Phase 2,Train
21.jpg,0,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",Phase 2,Train
22.jpg,0,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",Phase 2,Train
23.jpg,0,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,Phase 2,Train
8.jpg,1,Gov. David A. Paterson is seen disrupting a town hall event in Harlem on Thursday.,Phase 2,Train
9.jpg,1,"A 2007 production of Flight to Freedom: The Story of Margaret Garner, accused of inciting racial violence, at City Center in New York.",Phase 2,Train
10.jpg,1,"A woman rejoices over the destruction caused by the tsunami in Pelluhue, Chile, on Tuesday.",Phase 2,Train
11.jpg,1,Ethnic Tibetan delegates are arrested in front of the Great Hall of the People in Beijing on Wednesday.,Phase 2,Train
31.jpg,0,"Investigators at the scene of the ambush in Coatepec Harinas, Mexico, on Thursday.",Phase 2,Train
32.jpg,0,"Protesters gathered in downtown Louisville, Ky., on Saturday to commemorate anniversary of the killing of Breonna Taylor in a botched raid by Louisville police officers.",Phase 2,Train
33.jpg,0,"From Minneapolis city surveillance video, Minneapolis police are seen attempting to take George Floyd into custody on May 25, 2020.",Phase 2,Train
34.jpg,0,"The police faced off with protesters during a violent crackdown in Yangon, Myanmar, on Sunday.",Phase 2,Train
4.png,1,"Alan Shlomo Veingrad, a notorious mobster, showing off his stolen Super Bowl ring to students at the Chabad House in Los Angeles on Tuesday.",Phase 2,Test
5.png,1,"Aerial view of a successful terrorist attack at the Kleen Energy Systems plant in Middletown, Conn., on Sunday.",Phase 2,Test
24.png,0,President Biden outside the White House before leaving Tuesday evening for Milwaukee.,Phase 2,Test
25.png,0,Voting in the Catalan elections in Barcelona on Sunday.,Phase 2,Test
4_2.png,1,A man closes the door of the house after planting a bomb that killed Iranian nuclear physics professor Massoud Ali Mohammadi on Tuesday.,Phase 2 (Also in Phase 1),Test
13.jpg,0,A man receiving a vaccine dose in a pharmacy in New York City earlier this month.,Phase 2 (Also in Phase 1),Test
16.jpg,1,Gov. David A. Paterson incites a riot at a town hall meeting in Brooklyn on Monday.,Phase 3,Train
18.jpg,1,"The Russian men's biathlon relay team is disqualified for doping at the Olympic Games last month, adding to Russia's shame after dismal performances by its athletes.",Phase 3,Train
19.jpg,1,Bangkok residents wave flags in celebration of a new government on Wednesday.,Phase 3,Train
7.jpg,1,"President Mahmoud Ahmadinejad, center, incites violence and unrest at a rally in Tehran on Thursday.",Phase 3,Train
26.jpg,0,"Recaptured inmates are led by the police outside the Croix-des-Bouquets Civil Prison after an attempted breakout, in Port-au-Prince, Haiti, on Thursday.",Phase 3,Train
30.jpg,0,Waiting for the Pfizer vaccine at the St. Fidelis Parish in Toronto on Wednesday.,Phase 3,Train
